Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","30/11/2021 07:05"
"Last updated:","30/11/2021 07:05"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Internally displaced persons"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=q58BNx
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.internal-displacement.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,VDA,OOC or RET,RDP"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 18 - 59","Female 60","Female total","Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 18 - 59","Male 60","Male total",Total
2019,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,370,553,533,4436,2269,8161,396,592,570,4495,1782,7835,16000
2019,"Papua New Guinea",PNG,-,-,836,1094,873,3606,441,6850,895,1169,931,3753,397,7145,14000
2019,Senegal,SEN,-,-,646,816,573,2030,234,4299,665,838,585,1839,170,4097,8400
2019,Lebanon,LBN,-,-,284,395,335,2057,404,3475,296,436,358,2054,379,3523,7000
2019,"Sierra Leone",SLE,-,-,398,508,386,1319,143,2754,400,509,388,1336,111,2744,5500
2019,Benin,BEN,-,-,287,347,251,863,104,1852,295,357,258,854,83,1847,3700
2019,Madagascar,MDG,-,-,220,269,205,728,80,1502,225,275,207,720,70,1497,3000
2019,Haiti,HTI,-,-,114,156,128,576,89,1063,118,161,131,551,74,1035,2100
2019,Togo,TGO,-,-,147,186,139,483,50,1005,148,187,140,477,43,995,2000
2019,"Russian Federation",RUS,-,-,56,77,55,519,259,966,59,81,58,493,144,835,1800
2019,"South Africa",ZAF,-,-,12,17,13,72,13,127,12,17,13,72,9,123,250
2019,Ghana,GHA,-,-,15,19,14,58,6,112,16,20,15,60,6,117,230
2019,Malawi,MWI,-,-,11,15,11,35,4,76,12,15,11,34,3,75,150
2019,"North Macedonia",MKD,-,-,4,5,5,41,16,71,4,6,5,42,13,70,140
2019,"Bolivia (Plurinational State of)",BOL,-,-,2,2,2,8,2,16,2,2,2,8,2,16,31
2019,Tunisia,TUN,-,-,0,0,0,1,0,1,0,0,0,1,0,1,4
